Critical;name;Windows NID 1 (MS/BMP/Swedish);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/Swedish);Family Name NID 1 (MS/BMP/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/Spanish (Modern Sort));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Spanish (Modern Sort));PostScript Name NID 6 (MS/BMP/Spanish (Modern Sort)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 1053, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 1053, 4). Please add.;
Critical;name;Windows NID 1 (MS/BMP/German (Germany));Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/German (Germany));Family Name NID 1 (MS/BMP/German (Germany)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/French (Canada));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/French (Canada));PostScript Name NID 6 (MS/BMP/French (Canada)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/BMP/German (Germany));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/German (Germany));Version NID 5 (MS/BMP/German (Germany)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/BMP/Norwegian);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/Norwegian);Family Name NID 1 (MS/BMP/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 1044, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 1044, 4). Please add.;
Critical;name;Windows NID 5 (MS/BMP/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Italian (Italy));Version NID 5 (MS/BMP/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/French (France));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/French (France));PostScript Name NID 6 (MS/BMP/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/BMP/Finnish);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/Finnish);Family Name NID 1 (MS/BMP/Finnish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
