File Name;File Format;Vendor ID;Family Name (NID16);Subfamily Name (NID17);Family Name (NID1);Subfamily Name (NID2);Full Name (NID4);PostScript Name (NID6);Version;Copyright;Trademark;Manufacturer;URL Vendor;License Description;URL License;Religious Symbols;WOFF metadata;Critical Errors;Uncritical Errors
NotoSans-Black.ttf;ttf;GOOG;Noto Sans;Black;Noto Sans Blk;Regular;Noto Sans Black;NotoSans-Black;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;49
NotoSans-Light.ttf;ttf;GOOG;Noto Sans;Light;Noto Sans Light;Regular;Noto Sans Light;NotoSans-Light;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;34
NotoSans-Italic.ttf;ttf;GOOG;None;None;Noto Sans;Italic;Noto Sans Italic;NotoSans-Italic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;70
NotoSansUgaritic-Regular.ttf;ttf;GOOG;None;None;Noto Sans Ugaritic;Regular;Noto Sans Ugaritic Regular;NotoSansUgaritic-Regular;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2017 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;None;1
NotoSerifThai-SemiCondensed.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed;Noto Serif Thai SemCond;Regular;Noto Serif Thai SemiCondensed;NotoSerifThai-SemiCondensed;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;2
NotoSerifThai-SemiCondensedBold.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed Bold;Noto Serif Thai SemCond;Bold;Noto Serif Thai SemiCondensed Bold;NotoSerifThai-SemiCondensedBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;1
NotoSerifThai-SemiCondensedSemiBold.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed SemiBold;Noto Serif Thai SemCond SemBd;Regular;Noto Serif Thai SemiCondensed SemiBold;NotoSerifThai-SemiCondensedSemiBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer + FontSplitter;1
NotoSerifThai-SemiCondensedThin.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed Thin;Noto Serif Thai SemCond Thin;Regular;Noto Serif Thai SemiCondensed Thin;NotoSerifThai-SemiCondensedThin;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;3
NotoSerifThai-SemiCondensedExtraBold.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed ExtraBold;Noto Serif Thai SemCond ExtBd;Regular;Noto Serif Thai SemiCondensed ExtraBold;NotoSerifThai-SemiCondensedExtraBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;1
NotoSerifThai-SemiCondensedMedium.ttf;ttf;GOOG;Noto Serif Thai;SemiCondensed Medium;Noto Serif Thai SemCond Med;Regular;Noto Serif Thai SemiCondensed Medium;NotoSerifThai-SemiCondensedMedium;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2016 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSplitter + FontSniffer;2
